AÃ±o,Trimestre,Provincia,Mbps (Media de bajada)
2015,2,Entre RÃ­os,4550
2015,2,Formosa,3760
2015,2,Jujuy,3410
2015,2,La Pampa,2860
2015,2,La Rioja,4000
2015,2,Mendoza,3500
2015,2,Misiones,5330
2015,2,NeuquÃ©n,4060
2015,2,RÃ­o Negro,3670
2015,2,Salta,4220
2015,2,San Juan,3480
2015,2,San Luis,3500
2015,2,Santa Cruz,3470
2015,2,Santa Fe,4300
2015,2,Santiago Del Estero,3730
2015,2,Tierra Del Fuego,3480
2015,2,TucumÃ¡n,4310
2015,1,Buenos Aires,4320
2015,1,Capital Federal,5000
2015,1,Catamarca,3480
2015,1,Chaco,4900
2015,1,Chubut,3210
2015,1,CÃ³rdoba,4300
2015,1,Corrientes,4630
2015,1,Entre RÃ­os,4350
2015,1,Formosa,3380
2015,1,Jujuy,3240
2015,1,La Pampa,2830
2015,1,La Rioja,3780
2015,1,Mendoza,3500
2015,1,Misiones,4970
2015,1,NeuquÃ©n,3910
2015,1,RÃ­o Negro,3590
2015,1,Salta,4020
2015,1,San Juan,3480
2015,1,San Luis,3500
2015,1,Santa Cruz,3470
2015,1,Santa Fe,4060
2015,1,Santiago Del Estero,3570
2015,1,Tierra Del Fuego,3450
2015,1,TucumÃ¡n,4070
2014,4,Buenos Aires,4200
2014,4,Capital Federal,4780
2014,4,Catamarca,3340
2014,4,Chaco,3980
2014,4,Chubut,3170
2014,4,CÃ³rdoba,4090
2014,4,Corrientes,3810
2014,4,Entre RÃ­os,3800
2014,4,Formosa,3020
2014,4,Jujuy,3130
2014,4,La Pampa,2750
2014,4,La Rioja,3580
2014,4,Mendoza,3500
2014,4,Misiones,4030
2014,4,NeuquÃ©n,3850
2014,4,RÃ­o Negro,3540
2014,4,Salta,3860
2014,4,San Juan,3480
2014,4,San Luis,3500
2014,4,Santa Cruz,3330
2014,4,Santa Fe,3780
2014,4,Santiago Del Estero,3460
2014,4,Tierra Del Fuego,3470
2014,4,TucumÃ¡n,3860
2014,3,Buenos Aires,3970
2014,3,Capital Federal,4440
2014,3,Catamarca,2920
2014,3,Chaco,3460
2014,3,Chubut,3170
2014,3,CÃ³rdoba,3660
2014,3,Corrientes,3410
2014,3,Entre RÃ­os,3400
2014,3,Formosa,2660
2014,3,Jujuy,2930
2014,3,La Pampa,2820
2014,3,La Rioja,3100
2014,3,Mendoza,3500
2014,3,Misiones,3580
2014,3,NeuquÃ©n,3740
2014,3,RÃ­o Negro,3480
2014,3,Salta,3410
2014,3,San Juan,3470
2014,3,San Luis,3500
2014,3,Santa Cruz,3310
2014,3,Santa Fe,3380
2014,3,Santiago Del Estero,3100
2014,3,Tierra Del Fuego,3470
2014,3,TucumÃ¡n,3350
2014,2,Buenos Aires,3850
2014,2,Capital Federal,4250
2014,2,Catamarca,2920
2014,2,Chaco,3420
2014,2,Chubut,3160
2014,2,CÃ³rdoba,3560
2014,2,Corrientes,3370
2014,2,Entre RÃ­os,3310
2014,2,Formosa,2650
2014,2,Jujuy,2770
2014,2,La Pampa,2680
2014,2,La Rioja,3100
2014,2,Mendoza,3500
2014,2,Misiones,3540
2014,2,NeuquÃ©n,3660
2014,2,RÃ­o Negro,3430
2014,2,Salta,3390
2014,2,San Juan,3470
2014,2,San Luis,3500
